Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     31.41,     33.32,     33.13,     33.61,     33.76,     31.10,     27.83,     33.30,     31.43,     30.60,     29.51,     28.46,     26.75,     27.01,     27.85,     30.24,     28.37,     27.79,     27.98,     26.94,     26.62,     24.93,     23.46,     22.87,     22.41,     22.50,     22.15,     21.95
,...,...,Development,Trade Balance (% of GDP),     -2.85,     -2.75,     -2.82,     -3.35,     -3.50,     -3.28,     -2.62,     -4.31,     -4.32,     -4.82,     -4.66,     -4.19,     -3.63,     -3.14,     -2.64,     -2.81,     -2.09,     -1.45,     -0.90,     -0.73,     -0.78,     -1.05,     -0.86,     -0.52,     -0.47,     -1.17,     -1.39,     -1.82
,...,...,Development,Trade in services (% of GDP),      7.24,      7.42,      7.38,      7.29,      7.27,      6.94,      6.67,      6.82,      6.38,      5.93,      5.63,      5.50,      5.06,      5.02,      5.01,      5.35,      5.21,      5.28,      5.28,      5.21,      5.05,      4.91,      4.85,      4.86,      4.89,      4.74,      4.36,      4.27
,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,     14.64,     14.92,     14.78,     14.64,     14.56,     14.97,     14.92,     14.86,     15.70,     16.16,     16.71,     16.66,     17.02,     17.00,     16.50,     16.68,     17.59,     17.22,     16.61,     16.07,     16.28,     16.84,     16.44,     15.50,     15.52,,,
,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,     11.16,     12.44,     12.26,     11.93,     11.86,     12.04,     11.98,     13.31,     13.38,     13.69,     14.40,     14.59,     14.92,     15.26,     15.70,     15.83,     15.80,     15.53,     15.64,     16.16,     15.85,     15.76,     15.46,     14.98,     14.92,,,
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,      6.90,      6.74,      6.96,      6.50,      6.27,      6.29,      5.79,      4.63,      4.68,      4.36,      3.78,,,,,,,,,,,,,,,      1.12,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     20.32,     18.76,     18.02,     17.40,     17.16,     18.05,     17.90,     15.40,     15.67,     14.81,     13.88,     12.73,     11.42,     10.09,      8.39,      7.69,      7.36,      7.00,      6.42,      5.87,      5.54,      5.28,      4.91,,,,,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      1.79,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      1.57,      1.43,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,      4.81,      4.81,      2.83,      2.77,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.67,      3.66,      3.71,      4.02,      3.96,      4.17,      4.26,      4.39,      4.50,      4.77,      4.98,      5.37,      5.82,      6.00,      6.35,      6.75,      6.78,      7.12,      8.16,      9.18,      9.43,      8.92,      8.94,      9.27,      9.91,      5.55,      6.40,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.37,      5.20,      5.57,      5.90,      5.37,      5.79,      5.68,      6.13,      6.83,      7.30,      7.53,      7.99,      8.48,      9.44,      9.93,     10.80,     11.37,     11.74,     12.17,     12.71,     14.54,     15.62,     16.16,     16.14,     16.69,      7.00,      7.08,
,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,      1.17,
,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,      1.81,
